country_name,region_name,year,population,population_density,population_percent_urban,gdp_per_capita,obesity_rate,pneumonia_deaths_per_100k
Kosovo,,2020,1845000,165,54.7,4420,,
Kuwait,,2020,4270571,232.1722222,100,33994.40657,37.9,28.69543854
Kyrgyz Republic,,2020,6316000,32.92909281,36.351,1281.363661,16.6,14.24027696
Laos,,2020,7275560,30.59578423,35.004,2542.486528,5.3,69.69277779
Latvia,,2020,1907675,30,68.22,17861,,11.68
Lebanon,,2020,6825445,669.4941349,88.593,8269.787676,32,13.90359598
Lesotho,,2020,2142249,69.43781291,28.153,1299.153126,16.6,120.1029033
Liberia,,2020,5073296,50,51.62,677,,114.81
Libya,,2020,6871287,4,80.39,7242,,27
Lithuania,,2020,2795334,43,67.86,19154,,12
Luxembourg,,2020,625978,250.0938272,90.981,116639.888,22.6,13.35703721
Macao,,2020,649335,20777.50026,100,87208.53591,,
Madagascar,,2020,27691018,45.13985562,37.191,527.501285,5.3,117.1435165
Malawi,,2020,19129952,192.4407616,16.937,389.3980332,5.8,91.62136892
Malaysia,,2020,32365999,95.96282149,76.036,11373.233,15.6,112.9098132
Mali,,2020,20250833,15.63501586,42.356,899.6599081,8.6,60.93683904
Mauritania,,2020,4649658,4.272163578,53.672,1188.834588,12.7,83.33593901
Mauritius,,2020,1271768,623.3019704,40.793,11238.69039,10.8,22.7451741
Mexico,,2020,128932753,64.91462641,80.156,9673.443674,28.9,19.82003555
Moldova,,2020,2640438,123,42.73,3228,,23.29
Monaco,,2020,38300,39.3,100,186000,,
Mongolia,,2020,3278290,2.040608667,68.445,4121.732435,20.6,21.81236685
Morocco,,2020,36910560,80.72851893,62.453,3222.200634,26.1,21.61185389
Mozambique,,2020,31255435,37.50853531,35.988,498.9572202,7.2,95.97107882
Myanmar,,2020,54409800,82.23861548,30.579,1325.952924,5.8,59.3317367
Namibia,,2020,2540905,2.973745582,50.032,5931.453886,17.2,74.07970846
Nepal,,2020,28095714,203,20.15,1034,,47.47
Netherlands,,2020,17134872,511.4579104,91.49,53024.05921,20.4,16.39636629
New Zealand,,2020,4822233,18.55417569,86.538,41945.33167,30.8,8.137243446
Nicaragua,,2020,6624554,53.72704836,58.522,2028.894755,23.7,16.28074206
Niger,,2020,24206644,17.71765059,16.425,413.980305,5.5,119.9041305
Nigeria,,2020,206139589,215.064989,50.344,2028.18197,8.9,92.92574979
Norway,,2020,5421241,14.55491954,82.248,81697.24598,23.1,15.27950426
Oman,,2020,5106626,15.6041454,84.539,16415.15728,27,26.64407744
